date,city,province_or_state,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum
2000-01-01 00:00:00+00:00,Bismarck,ND,-2.4526494,0.008549415,-8.468924,0.0,,
2000-01-02 00:00:00+00:00,Bismarck,ND,-5.727896,-1.665566,-8.494608,0.29898456,,
2000-01-03 00:00:00+00:00,Bismarck,ND,-9.461759,-5.443995,-12.581829,1.799127,,
2000-01-04 00:00:00+00:00,Bismarck,ND,-12.545622,-4.822425,-16.369053,0.0,,
2000-01-05 00:00:00+00:00,Bismarck,ND,-2.1294844,4.4991455,-6.756275,0.0,,
2000-01-06 00:00:00+00:00,Bismarck,ND,-3.4633462,4.2707167,-8.943499,2.1169128,,
2000-01-07 00:00:00+00:00,Bismarck,ND,-10.49721,-8.157713,-12.930721,0.50542384,,
2000-01-08 00:00:00+00:00,Bismarck,ND,-12.431071,-9.986143,-14.567945,1.1149776,,
2000-01-09 00:00:00+00:00,Bismarck,ND,-18.564936,-11.714572,-23.405165,0.7114514,,
2000-01-10 00:00:00+00:00,Bismarck,ND,-19.798798,-15.693001,-22.292387,0.20381546,,
2000-01-11 00:00:00+00:00,Bismarck,ND,-21.632662,-18.071432,-22.929611,0.6130626,,
2000-01-12 00:00:00+00:00,Bismarck,ND,-19.366524,-10.84986,-24.716835,0.0,,
2000-01-13 00:00:00+00:00,Bismarck,ND,-16.450384,-10.52829,-20.604055,0.51354283,,
2000-01-14 00:00:00+00:00,Bismarck,ND,-23.434248,-19.706718,-25.34128,0.0,,
2000-01-15 00:00:00+00:00,Bismarck,ND,-15.518109,-10.685148,-22.628502,0.0,,
2000-01-16 00:00:00+00:00,Bismarck,ND,-10.601973,-1.7635782,-15.965723,0.0,,
2000-01-17 00:00:00+00:00,Bismarck,ND,-4.735835,-0.69200784,-11.952948,0.41497394,,
2000-01-18 00:00:00+00:00,Bismarck,ND,-8.619698,2.1795633,-16.34017,0.20799308,,
2000-01-19 00:00:00+00:00,Bismarck,ND,1.7464399,5.6011333,-3.1773927,0.0,,
2000-01-20 00:00:00+00:00,Bismarck,ND,-4.137423,4.022704,-8.614616,0.20899215,,
2000-01-21 00:00:00+00:00,Bismarck,ND,-3.571285,4.6442747,-11.201838,1.1521686,,
2000-01-22 00:00:00+00:00,Bismarck,ND,-2.9051478,1.9658452,-6.93906,0.104987,,
2000-01-23 00:00:00+00:00,Bismarck,ND,1.8109889,5.4874153,-2.2262833,2.2098153,,
2000-01-24 00:00:00+00:00,Bismarck,ND,-1.2228734,5.058986,-6.1635046,0.10546955,,
2000-01-25 00:00:00+00:00,Bismarck,ND,-7.2067366,-5.2694435,-8.900727,0.95136964,,
2000-01-26 00:00:00+00:00,Bismarck,ND,-7.3905983,-3.0978727,-11.087952,0.10594393,,
2000-01-27 00:00:00+00:00,Bismarck,ND,-11.424461,-3.5763025,-16.025175,0.955603,,
2000-01-28 00:00:00+00:00,Bismarck,ND,-17.108324,-9.254732,-24.812395,3.6179519,,
2000-01-29 00:00:00+00:00,Bismarck,ND,-24.742186,-20.23316,-28.349617,0.10664063,,
2000-01-30 00:00:00+00:00,Bismarck,ND,-20.126049,-16.96159,-21.836842,1.3892969,,
2000-01-31 00:00:00+00:00,Bismarck,ND,-29.059912,-17.94002,-32.924065,5.67606,,
2000-02-01 00:00:00+00:00,Bismarck,ND,-32.093773,-28.768448,-35.711285,0.0,,
2000-02-02 00:00:00+00:00,Bismarck,ND,-24.277637,-10.646879,-32.94851,0.107542835,,
2000-02-03 00:00:00+00:00,Bismarck,ND,-6.9614987,-4.325309,-11.235733,0.43105513,,
2000-02-04 00:00:00+00:00,Bismarck,ND,-20.44536,-10.753737,-27.222956,0.43193159,,
2000-02-05 00:00:00+00:00,Bismarck,ND,-17.879225,-14.832168,-20.210176,0.5410013,,
2000-02-06 00:00:00+00:00,Bismarck,ND,-22.813086,-18.960596,-28.447401,1.626238,,
2000-02-07 00:00:00+00:00,Bismarck,ND,-21.69695,-10.139027,-29.484623,0.108629726,,
2000-02-08 00:00:00+00:00,Bismarck,ND,-13.480812,1.3325446,-23.921846,3.0475724,,
2000-02-09 00:00:00+00:00,Bismarck,ND,-32.614674,-22.945887,-36.259064,0.10905232,,
2000-02-10 00:00:00+00:00,Bismarck,ND,-23.198538,-1.4243143,-38.046288,0.87408876,,
2000-02-11 00:00:00+00:00,Bismarck,ND,-13.8824005,-0.45274404,-23.333513,0.0,,
2000-02-12 00:00:00+00:00,Bismarck,ND,-26.666262,-20.931173,-30.970736,0.21934743,,
2000-02-13 00:00:00+00:00,Bismarck,ND,-26.250124,-17.759604,-31.707956,0.0,,
2000-02-14 00:00:00+00:00,Bismarck,ND,-12.883987,-4.138032,-18.845182,0.0,,
2000-02-15 00:00:00+00:00,Bismarck,ND,-7.86785,-4.216462,-11.782403,1.4336469,,
2000-02-16 00:00:00+00:00,Bismarck,ND,-13.351712,-7.1448917,-17.819628,0.11047967,,
2000-02-17 00:00:00+00:00,Bismarck,ND,-1.5855758,4.576679,-10.006848,0.0,,
2000-02-18 00:00:00+00:00,Bismarck,ND,1.4305613,4.5482497,-2.194072,0.0,,
2000-02-19 00:00:00+00:00,Bismarck,ND,1.5966994,4.9698205,-0.9312938,0.11106791,,
2000-02-20 00:00:00+00:00,Bismarck,ND,-6.9371634,2.0913913,-13.418517,0.0,,
2000-02-21 00:00:00+00:00,Bismarck,ND,-21.221027,-4.887038,-25.60574,8.247491,,
2000-02-22 00:00:00+00:00,Bismarck,ND,-24.804888,-12.765468,-32.74296,0.781499,,
2000-02-23 00:00:00+00:00,Bismarck,ND,-9.538752,-2.193897,-13.7301855,0.11183142,,
2000-02-24 00:00:00+00:00,Bismarck,ND,-11.622614,-2.5223267,-17.41741,0.78413093,,
2000-02-25 00:00:00+00:00,Bismarck,ND,-11.156477,-6.4007564,-14.8546295,0.112204604,,
2000-02-26 00:00:00+00:00,Bismarck,ND,-14.340339,-7.979186,-19.691853,0.11238908,,
2000-02-27 00:00:00+00:00,Bismarck,ND,-16.724201,-9.607615,-20.129076,0.78800523,,
2000-02-28 00:00:00+00:00,Bismarck,ND,-21.258064,-15.586044,-29.466297,0.11275393,,
2000-02-29 00:00:00+00:00,Bismarck,ND,-21.041925,-14.014475,-29.45352,0.11293434,,
2000-03-01 00:00:00+00:00,Bismarck,ND,-19.32579,-14.042904,-23.590744,1.6967014,,
2000-03-02 00:00:00+00:00,Bismarck,ND,-20.309652,-14.621333,-26.177965,0.22658236,,
2000-03-03 00:00:00+00:00,Bismarck,ND,-21.335173,-13.448991,-27.207563,1.0202612,,
2000-03-04 00:00:00+00:00,Bismarck,ND,-18.685688,-13.406187,-24.162588,1.5871776,,
2000-03-05 00:00:00+00:00,Bismarck,ND,-17.436205,-13.813382,-20.917612,2.2675397,,
2000-03-06 00:00:00+00:00,Bismarck,ND,-22.08672,-15.270577,-28.172636,0.11338382,,
2000-03-07 00:00:00+00:00,Bismarck,ND,-16.987234,-8.227774,-23.827662,0.0,,
2000-03-08 00:00:00+00:00,Bismarck,ND,-3.287751,6.71503,-9.682685,0.45358664,,
2000-03-09 00:00:00+00:00,Bismarck,ND,-3.1382663,7.0078344,-10.937708,2.1546507,,
2000-03-10 00:00:00+00:00,Bismarck,ND,-15.188783,-9.949362,-19.242733,0.0,,
2000-03-11 00:00:00+00:00,Bismarck,ND,-13.289298,-0.8565565,-20.397757,0.45365605,,
2000-03-12 00:00:00+00:00,Bismarck,ND,-4.589813,1.1862478,-10.452782,0.90735495,,
2000-03-13 00:00:00+00:00,Bismarck,ND,-3.7403288,4.479052,-11.9078045,0.1134245,,
2000-03-14 00:00:00+00:00,Bismarck,ND,0.20915577,5.2718563,-5.412829,0.0,,
2000-03-15 00:00:00+00:00,Bismarck,ND,-10.541361,-4.3353395,-15.817854,0.11343425,,
2000-03-16 00:00:00+00:00,Bismarck,ND,-1.2418756,5.457464,-5.6228776,0.22687772,,
2000-03-17 00:00:00+00:00,Bismarck,ND,0.8076084,5.350269,-4.1279006,0.0,,
2000-03-18 00:00:00+00:00,Bismarck,ND,-0.39290717,5.1930737,-5.332925,0.0,,
2000-03-19 00:00:00+00:00,Bismarck,ND,2.4065773,4.985878,0.3620511,0.11345174,,
2000-03-20 00:00:00+00:00,Bismarck,ND,2.4060614,5.628682,-0.24297252,0.0,,
2000-03-21 00:00:00+00:00,Bismarck,ND,2.1555457,5.221486,-0.9479967,0.0,,
2000-03-22 00:00:00+00:00,Bismarck,ND,3.55503,5.6642895,1.8469791,0.0,,
2000-03-23 00:00:00+00:00,Bismarck,ND,2.7545145,5.5070953,1.491955,0.9077363,,
2000-03-24 00:00:00+00:00,Bismarck,ND,-0.14600137,3.2498996,-2.763069,3.6310582,,
2000-03-25 00:00:00+00:00,Bismarck,ND,-5.5465174,-1.5072954,-8.068093,16.226778,,
2000-03-26 00:00:00+00:00,Bismarck,ND,-5.5970335,-3.214492,-7.073117,7.9434104,,
2000-03-27 00:00:00+00:00,Bismarck,ND,-5.8475485,-1.2716873,-10.228141,0.22696105,,
2000-03-28 00:00:00+00:00,Bismarck,ND,-6.048064,3.821117,-15.433165,0.0,,
2000-03-29 00:00:00+00:00,Bismarck,ND,0.9014202,4.713921,-2.488189,0.0,,
2000-03-30 00:00:00+00:00,Bismarck,ND,1.1009051,4.6067247,-2.5432136,0.0,,
2000-03-31 00:00:00+00:00,Bismarck,ND,0.30038962,4.3495293,-3.4982374,0.11349249,,
2000-04-01 00:00:00+00:00,Bismarck,ND,0.34987375,3.8423338,-2.8032613,0.0,,
2000-04-02 00:00:00+00:00,Bismarck,ND,1.7493585,4.135138,-0.20828524,1.1349797,,
2000-04-03 00:00:00+00:00,Bismarck,ND,2.5988424,4.4779425,1.0366911,0.11350061,,
2000-04-04 00:00:00+00:00,Bismarck,ND,4.2983265,7.170747,1.8316667,5.9021645,,
2000-04-05 00:00:00+00:00,Bismarck,ND,2.8978114,8.713552,0.37664253,0.6810341,,
2000-04-06 00:00:00+00:00,Bismarck,ND,5.647295,10.906355,1.6716189,1.0215728,,
2000-04-07 00:00:00+00:00,Bismarck,ND,5.89678,10.8991585,1.1665943,0.0,,
2000-04-08 00:00:00+00:00,Bismarck,ND,6.596264,14.741963,0.16157058,2.156743,,
2000-04-09 00:00:00+00:00,Bismarck,ND,10.095749,18.134768,3.0565464,0.0,,
2000-04-10 00:00:00+00:00,Bismarck,ND,12.195232,21.477571,3.9515228,0.11351725,,
2000-04-11 00:00:00+00:00,Bismarck,ND,14.394717,22.270376,6.3964987,0.0,,
2000-04-12 00:00:00+00:00,Bismarck,ND,15.094201,21.96318,9.341475,0.22704299,,
2000-04-13 00:00:00+00:00,Bismarck,ND,17.343685,24.705988,10.586451,0.22704707,,
2000-04-14 00:00:00+00:00,Bismarck,ND,16.14317,23.89879,10.981426,1.1352553,,
2000-04-15 00:00:00+00:00,Bismarck,ND,4.742655,16.641594,-0.2235975,3.0652418,,
2000-04-16 00:00:00+00:00,Bismarck,ND,3.5921392,9.184398,-0.5286217,0.567647,,
2000-04-17 00:00:00+00:00,Bismarck,ND,4.691623,9.027203,-0.033645578,0.5676562,,
2000-04-18 00:00:00+00:00,Bismarck,ND,4.491107,9.420008,0.01133028,0.4541323,,
2000-04-19 00:00:00+00:00,Bismarck,ND,5.190592,10.512811,0.5563066,0.5676743,,
2000-04-20 00:00:00+00:00,Bismarck,ND,6.9400764,15.605615,0.35128236,0.0,,
2000-04-21 00:00:00+00:00,Bismarck,ND,12.8395605,21.94842,6.4962583,0.1135383,,
2000-04-22 00:00:00+00:00,Bismarck,ND,12.089045,21.941225,7.041234,0.7947798,,
2000-04-23 00:00:00+00:00,Bismarck,ND,6.93853,10.784029,2.4362106,5.3364544,,
2000-04-24 00:00:00+00:00,Bismarck,ND,7.2880135,14.076834,1.1811862,0.0,,
2000-04-25 00:00:00+00:00,Bismarck,ND,9.587498,17.06964,2.676162,0.0,,
2000-04-26 00:00:00+00:00,Bismarck,ND,12.436983,21.41244,4.671139,0.0,,
2000-04-27 00:00:00+00:00,Bismarck,ND,12.536467,21.205244,6.9661145,3.0657904,,
2000-04-28 00:00:00+00:00,Bismarck,ND,4.9359508,13.24805,0.011090241,0.0,,
2000-04-29 00:00:00+00:00,Bismarck,ND,2.0854356,8.990855,-2.6939337,0.0,,
2000-04-30 00:00:00+00:00,Bismarck,ND,7.134919,16.68366,-1.0989578,0.0,,
2000-05-01 00:00:00+00:00,Bismarck,ND,11.434404,18.176462,5.346018,0.11355352,,
2000-05-02 00:00:00+00:00,Bismarck,ND,14.433888,22.469267,6.840994,0.0,,
2000-05-03 00:00:00+00:00,Bismarck,ND,13.976308,21.590132,5.948232,0.0,,
2000-05-04 00:00:00+00:00,Bismarck,ND,16.866373,24.603682,8.509559,0.0,,
2000-05-05 00:00:00+00:00,Bismarck,ND,14.606439,22.767235,9.420884,2.8578963,,
2000-05-06 00:00:00+00:00,Bismarck,ND,12.896503,20.180788,5.33221,0.0,,
2000-05-07 00:00:00+00:00,Bismarck,ND,13.536568,18.594337,7.9935365,1.9527617,,
2000-05-08 00:00:00+00:00,Bismarck,ND,10.576634,18.10789,7.304863,8.635826,,
2000-05-09 00:00:00+00:00,Bismarck,ND,2.5666988,11.721442,-2.4338112,1.1542022,,
2000-05-10 00:00:00+00:00,Bismarck,ND,1.8567641,8.834993,-3.222485,0.0,,
2000-05-11 00:00:00+00:00,Bismarck,ND,7.0468283,16.298542,0.13884112,0.115971506,,
2000-05-12 00:00:00+00:00,Bismarck,ND,11.136892,16.162094,7.1001663,15.228348,,
2000-05-13 00:00:00+00:00,Bismarck,ND,7.326959,14.975645,2.2614934,1.3982662,,
2000-05-14 00:00:00+00:00,Bismarck,ND,8.217024,12.689197,4.1228194,0.5839865,,
2000-05-15 00:00:00+00:00,Bismarck,ND,7.607088,12.25275,2.4841456,0.4682891,,
2000-05-16 00:00:00+00:00,Bismarck,ND,9.447154,16.666302,3.0954716,0.0,,
2000-05-17 00:00:00+00:00,Bismarck,ND,13.237218,19.329853,8.406797,0.70573056,,
2000-05-18 00:00:00+00:00,Bismarck,ND,16.977285,23.393404,13.818123,0.70737773,,
2000-05-19 00:00:00+00:00,Bismarck,ND,15.767349,23.456955,9.87945,0.11817064,,
2000-05-20 00:00:00+00:00,Bismarck,ND,14.6574135,20.370506,8.740775,0.47377953,,
2000-05-21 00:00:00+00:00,Bismarck,ND,14.897479,20.034058,10.352102,17.21425,,
2000-05-22 00:00:00+00:00,Bismarck,ND,12.937545,18.14761,7.8634286,0.47597155,,
2000-05-23 00:00:00+00:00,Bismarck,ND,14.127609,22.311161,6.5247545,0.35779998,,
2000-05-24 00:00:00+00:00,Bismarck,ND,16.967676,24.874712,9.63608,0.0,,
2000-05-25 00:00:00+00:00,Bismarck,ND,19.757738,30.338266,12.497407,1.9170204,,
2000-05-26 00:00:00+00:00,Bismarck,ND,20.097805,30.351816,13.958733,3.7227006,,
2000-05-27 00:00:00+00:00,Bismarck,ND,21.637869,29.815367,16.920057,5.897655,,
2000-05-28 00:00:00+00:00,Bismarck,ND,23.377935,29.928917,17.431383,2.1714,,
2000-05-29 00:00:00+00:00,Bismarck,ND,18.267998,21.74247,14.54271,12.816061,,
2000-05-30 00:00:00+00:00,Bismarck,ND,11.858064,19.40602,7.8540354,23.993435,,
2000-05-31 00:00:00+00:00,Bismarck,ND,7.5981293,13.119574,3.2153628,2.1861281,,
2000-06-01 00:00:00+00:00,Bismarck,ND,9.738194,14.283123,4.626689,0.0,,
2000-06-02 00:00:00+00:00,Bismarck,ND,10.428259,13.596676,6.688015,0.24399267,,
2000-06-03 00:00:00+00:00,Bismarck,ND,10.218326,16.610228,5.399341,0.4890739,,
2000-06-04 00:00:00+00:00,Bismarck,ND,13.55839,20.523777,7.4106665,0.36762154,,
2000-06-05 00:00:00+00:00,Bismarck,ND,16.448454,22.68733,10.071994,0.0,,
2000-06-06 00:00:00+00:00,Bismarck,ND,11.6885195,21.65088,5.38332,2.4616814,,
2000-06-07 00:00:00+00:00,Bismarck,ND,9.978584,13.664433,5.044646,0.0,,
2000-06-08 00:00:00+00:00,Bismarck,ND,9.068649,12.477983,7.055972,54.39591,,
2000-06-09 00:00:00+00:00,Bismarck,ND,10.158714,11.841536,8.067297,1.6106783,,
2000-06-10 00:00:00+00:00,Bismarck,ND,8.998779,13.005087,6.078624,0.7450168,,
2000-06-11 00:00:00+00:00,Bismarck,ND,10.038845,12.968637,8.13995,6.5953445,,
2000-06-12 00:00:00+00:00,Bismarck,ND,12.47891,17.73219,8.251276,18.332561,,
2000-06-13 00:00:00+00:00,Bismarck,ND,14.318975,18.44574,9.662602,0.49992797,,
2000-06-14 00:00:00+00:00,Bismarck,ND,15.40904,17.309292,12.873928,7.640404,,
2000-06-15 00:00:00+00:00,Bismarck,ND,13.999105,19.272844,9.2852545,0.25104588,,
2000-06-16 00:00:00+00:00,Bismarck,ND,17.939169,22.836397,13.446579,0.2515864,,
2000-06-17 00:00:00+00:00,Bismarck,ND,18.979235,23.649946,14.357907,3.9079626,,
2000-06-18 00:00:00+00:00,Bismarck,ND,19.1193,23.413498,15.119231,11.748995,,
2000-06-19 00:00:00+00:00,Bismarck,ND,17.709366,23.827051,12.230558,0.1266031,,
2000-06-20 00:00:00+00:00,Bismarck,ND,19.349432,23.7906,16.041883,6.216765,,
2000-06-21 00:00:00+00:00,Bismarck,ND,19.239494,24.804153,14.75321,0.88999605,,
2000-06-22 00:00:00+00:00,Bismarck,ND,19.179562,24.417704,14.664536,2.8030572,,
2000-06-23 00:00:00+00:00,Bismarck,ND,18.269625,23.381254,13.225863,0.12768094,,
2000-06-24 00:00:00+00:00,Bismarck,ND,16.80969,22.344807,13.887188,1.9192504,,
2000-06-25 00:00:00+00:00,Bismarck,ND,18.599754,27.05836,12.448516,0.0,,
2000-06-26 00:00:00+00:00,Bismarck,ND,22.88982,29.321909,16.05984,0.0,,
2000-06-27 00:00:00+00:00,Bismarck,ND,23.579885,31.685463,16.02117,0.0,,
2000-06-28 00:00:00+00:00,Bismarck,ND,24.469948,31.249014,17.982492,0.0,,
2000-06-29 00:00:00+00:00,Bismarck,ND,20.610014,26.662565,15.243822,0.25858667,,
2000-06-30 00:00:00+00:00,Bismarck,ND,19.800081,23.926113,15.205146,0.0,,
2000-07-01 00:00:00+00:00,Bismarck,ND,20.340147,28.089666,13.51647,0.0,,
2000-07-02 00:00:00+00:00,Bismarck,ND,22.58021,27.90322,19.477797,10.017516,,
2000-07-03 00:00:00+00:00,Bismarck,ND,21.519833,27.544231,15.321334,0.6520098,,
2000-07-04 00:00:00+00:00,Bismarck,ND,21.616539,27.296309,15.969474,0.13071579,,
2000-07-05 00:00:00+00:00,Bismarck,ND,22.16324,27.29839,17.367615,4.9793015,,
2000-07-06 00:00:00+00:00,Bismarck,ND,22.759943,29.550468,15.365754,0.13135746,,
2000-07-07 00:00:00+00:00,Bismarck,ND,20.056643,28.202547,15.963892,2.3703392,,
2000-07-08 00:00:00+00:00,Bismarck,ND,19.60335,28.104626,13.762033,1.7162406,,
2000-07-09 00:00:00+00:00,Bismarck,ND,24.850052,32.00671,17.410172,0.0,,
2000-07-10 00:00:00+00:00,Bismarck,ND,24.196754,30.258785,18.458311,0.13269988,,
2000-07-11 00:00:00+00:00,Bismarck,ND,24.693457,30.560863,18.55645,0.6652423,,
2000-07-12 00:00:00+00:00,Bismarck,ND,24.89016,31.662945,19.05459,14.674273,,
2000-07-13 00:00:00+00:00,Bismarck,ND,24.386864,31.565022,19.35273,0.40128613,,
2000-07-14 00:00:00+00:00,Bismarck,ND,21.183565,26.517101,16.00087,4.694456,,
2000-07-15 00:00:00+00:00,Bismarck,ND,23.53027,31.669182,17.149008,0.0,,
2000-07-16 00:00:00+00:00,Bismarck,ND,26.676971,32.82126,21.447147,0.0,,
2000-07-17 00:00:00+00:00,Bismarck,ND,25.223677,32.723343,20.045286,1.6231042,,
2000-07-18 00:00:00+00:00,Bismarck,ND,23.620378,27.975418,18.393427,6.2398124,,
2000-07-19 00:00:00+00:00,Bismarck,ND,21.26708,25.777496,17.091568,4.625496,,
2000-07-20 00:00:00+00:00,Bismarck,ND,19.463785,24.329575,15.939705,4.2298393,,
2000-07-21 00:00:00+00:00,Bismarck,ND,18.660486,24.531654,13.737846,0.27371126,,
2000-07-22 00:00:00+00:00,Bismarck,ND,20.80719,28.383734,14.685984,0.0,,
2000-07-23 00:00:00+00:00,Bismarck,ND,22.803894,28.235815,17.384125,5.0947137,,
2000-07-24 00:00:00+00:00,Bismarck,ND,24.050596,30.537893,17.932264,2.210007,,
2000-07-25 00:00:00+00:00,Bismarck,ND,25.897299,32.189972,19.280403,0.27712676,,
2000-07-26 00:00:00+00:00,Bismarck,ND,26.644001,33.79205,19.928543,0.695045,,
2000-07-27 00:00:00+00:00,Bismarck,ND,25.690704,33.54413,19.676682,0.41838744,,
2000-07-28 00:00:00+00:00,Bismarck,ND,24.287409,30.296207,16.874823,0.0,,
2000-07-29 00:00:00+00:00,Bismarck,ND,26.934113,34.04829,23.67296,5.6157546,,
2000-07-30 00:00:00+00:00,Bismarck,ND,26.580814,34.20037,20.721102,0.5634889,,
2000-07-31 00:00:00+00:00,Bismarck,ND,26.227516,30.852446,20.76924,0.0,,
2000-08-01 00:00:00+00:00,Bismarck,ND,22.57422,26.604523,18.06738,5.674218,,
2000-08-02 00:00:00+00:00,Bismarck,ND,24.370924,28.456604,20.21552,0.7118041,,
2000-08-03 00:00:00+00:00,Bismarck,ND,22.417627,27.808683,16.81366,0.2857513,,
2000-08-04 00:00:00+00:00,Bismarck,ND,23.46433,30.560759,17.0618,0.0,,
2000-08-05 00:00:00+00:00,Bismarck,ND,26.511034,35.712845,19.759937,0.0,,
2000-08-06 00:00:00+00:00,Bismarck,ND,30.757736,37.664917,22.158077,0.0,,
2000-08-07 00:00:00+00:00,Bismarck,ND,29.754438,36.617,24.406218,0.0,,
2000-08-08 00:00:00+00:00,Bismarck,ND,27.301142,33.66908,20.754356,2.6208432,,
2000-08-09 00:00:00+00:00,Bismarck,ND,28.447847,35.57116,20.702497,0.0,,
2000-08-10 00:00:00+00:00,Bismarck,ND,26.544548,34.923233,19.650635,12.4754505,,
2000-08-11 00:00:00+00:00,Bismarck,ND,23.94125,34.625317,17.898775,0.0,,
2000-08-12 00:00:00+00:00,Bismarck,ND,20.687952,26.427395,14.746914,0.14798556,,
2000-08-13 00:00:00+00:00,Bismarck,ND,21.734657,28.129473,15.945055,0.0,,
2000-08-14 00:00:00+00:00,Bismarck,ND,23.081358,28.681551,16.293196,0.0,,
2000-08-15 00:00:00+00:00,Bismarck,ND,24.128061,28.833633,18.641333,0.0,,
2000-08-16 00:00:00+00:00,Bismarck,ND,24.024765,29.935709,19.139471,0.0,,
2000-08-17 00:00:00+00:00,Bismarck,ND,27.671469,33.53779,22.237612,0.45376477,,
2000-08-18 00:00:00+00:00,Bismarck,ND,26.768171,33.239872,20.585752,1.823421,,
2000-08-19 00:00:00+00:00,Bismarck,ND,26.014874,34.691948,19.83389,3.5112724,,
2000-08-20 00:00:00+00:00,Bismarck,ND,28.611576,34.54403,21.53203,1.6873145,,
2000-08-21 00:00:00+00:00,Bismarck,ND,26.60828,33.446106,20.23017,0.77068466,,
2000-08-22 00:00:00+00:00,Bismarck,ND,26.654984,31.748186,23.07831,0.0,,
2000-08-23 00:00:00+00:00,Bismarck,ND,22.451689,28.70026,15.826448,0.0,,
2000-08-24 00:00:00+00:00,Bismarck,ND,24.898388,28.352343,20.674587,0.0,,
2000-08-25 00:00:00+00:00,Bismarck,ND,21.095095,27.404419,15.1727295,0.0,,
2000-08-26 00:00:00+00:00,Bismarck,ND,23.841793,31.456501,18.070868,0.0,,
2000-08-27 00:00:00+00:00,Bismarck,ND,20.838501,31.258581,15.669008,8.903166,,
2000-08-28 00:00:00+00:00,Bismarck,ND,16.535202,21.26066,11.967146,0.0,,
2000-08-29 00:00:00+00:00,Bismarck,ND,17.781902,23.962736,12.115285,0.0,,
2000-08-30 00:00:00+00:00,Bismarck,ND,21.328608,29.064817,15.163426,3.395369,,
2000-08-31 00:00:00+00:00,Bismarck,ND,21.425312,28.766897,14.261565,0.0,,
2000-09-01 00:00:00+00:00,Bismarck,ND,23.522013,30.368975,17.759705,0.32720014,,
2000-09-02 00:00:00+00:00,Bismarck,ND,24.486256,30.25877,17.656628,4.8895483,,
2000-09-03 00:00:00+00:00,Bismarck,ND,24.300493,29.648565,19.403555,0.0,,
2000-09-04 00:00:00+00:00,Bismarck,ND,22.564732,29.538364,15.800481,0.0,,
2000-09-05 00:00:00+00:00,Bismarck,ND,22.328976,28.428164,16.147408,0.0,,
2000-09-06 00:00:00+00:00,Bismarck,ND,22.693216,28.717958,16.544333,0.0,,
2000-09-07 00:00:00+00:00,Bismarck,ND,21.557455,28.507753,15.591259,0.0,,
2000-09-08 00:00:00+00:00,Bismarck,ND,19.121696,26.34755,14.838186,1.9104229,,
2000-09-09 00:00:00+00:00,Bismarck,ND,17.135935,23.737347,11.48511,0.0,,
2000-09-10 00:00:00+00:00,Bismarck,ND,21.150177,26.027142,16.082037,0.0,,
2000-09-11 00:00:00+00:00,Bismarck,ND,22.664415,31.26694,16.278963,0.0,,
2000-09-12 00:00:00+00:00,Bismarck,ND,13.428656,30.256739,6.5758896,0.0,,
2000-09-13 00:00:00+00:00,Bismarck,ND,12.492896,18.296532,7.322814,0.0,,
2000-09-14 00:00:00+00:00,Bismarck,ND,13.507137,18.38633,7.9197407,0.0,,
2000-09-15 00:00:00+00:00,Bismarck,ND,14.571376,21.526125,8.566667,0.0,,
2000-09-16 00:00:00+00:00,Bismarck,ND,17.185617,23.26592,11.413591,0.0,,
2000-09-17 00:00:00+00:00,Bismarck,ND,18.949858,25.955717,13.510518,0.0,,
2000-09-18 00:00:00+00:00,Bismarck,ND,19.664099,27.395517,12.107443,0.0,,
2000-09-19 00:00:00+00:00,Bismarck,ND,21.778337,29.485312,16.00437,0.0,,
2000-09-20 00:00:00+00:00,Bismarck,ND,16.392578,29.275108,12.351295,6.0450883,,
2000-09-21 00:00:00+00:00,Bismarck,ND,13.106819,17.664906,8.748221,0.0,,
2000-09-22 00:00:00+00:00,Bismarck,ND,12.121058,17.5047,7.545148,0.0,,
2000-09-23 00:00:00+00:00,Bismarck,ND,15.085299,22.044497,9.442074,0.0,,
2000-09-24 00:00:00+00:00,Bismarck,ND,14.249538,21.434292,9.988999,0.0,,
2000-09-25 00:00:00+00:00,Bismarck,ND,9.7137785,15.674089,5.0359244,0.0,,
2000-09-26 00:00:00+00:00,Bismarck,ND,9.92802,16.013885,5.582851,0.0,,
2000-09-27 00:00:00+00:00,Bismarck,ND,13.842258,25.153683,7.429776,0.0,,
2000-09-28 00:00:00+00:00,Bismarck,ND,16.0065,25.39348,11.626703,1.1626371,,
2000-09-29 00:00:00+00:00,Bismarck,ND,14.22074,19.683275,9.623629,0.0,,
2000-09-30 00:00:00+00:00,Bismarck,ND,17.98498,25.373072,11.970555,0.0,,
2000-10-01 00:00:00+00:00,Bismarck,ND,14.1492195,24.462868,10.767481,6.723934,,
2000-10-02 00:00:00+00:00,Bismarck,ND,10.463461,16.052664,6.5144067,4.8380256,,
2000-10-03 00:00:00+00:00,Bismarck,ND,12.2777,16.14246,9.111332,0.0,,
2000-10-04 00:00:00+00:00,Bismarck,ND,9.34194,17.982258,4.1582584,0.70370805,,
2000-10-05 00:00:00+00:00,Bismarck,ND,13.506182,18.472054,10.655184,0.13995576,,
2000-10-06 00:00:00+00:00,Bismarck,ND,8.170421,14.161849,4.10211,0.6958183,,
2000-10-07 00:00:00+00:00,Bismarck,ND,5.6846614,10.501647,0.8490359,0.69182634,,
