date,city,province_or_state,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum
2000-01-01 00:00:00+00:00,Pierre,SD,-0.7821486,4.302965,-3.5921109,0.0,,
2000-01-02 00:00:00+00:00,Pierre,SD,-1.0128744,3.6243541,-3.8752468,0.0,,
2000-01-03 00:00:00+00:00,Pierre,SD,-5.8536596,1.1792033,-8.8644705,0.21915965,,
2000-01-04 00:00:00+00:00,Pierre,SD,-6.794444,-1.3159478,-10.253694,0.44151035,,
2000-01-05 00:00:00+00:00,Pierre,SD,-1.2352302,5.988901,-6.192919,0.0,,
2000-01-06 00:00:00+00:00,Pierre,SD,0.42398477,5.9937506,-5.0321426,1.1194524,,
2000-01-07 00:00:00+00:00,Pierre,SD,-7.2168007,-3.5014002,-10.521367,0.112715445,,
2000-01-08 00:00:00+00:00,Pierre,SD,-5.607586,-3.3465512,-7.0105906,3.2908266,,
2000-01-09 00:00:00+00:00,Pierre,SD,-12.24837,-3.9417021,-15.949815,3.9980292,,
2000-01-10 00:00:00+00:00,Pierre,SD,-14.939156,-11.986853,-16.539042,1.4946547,,
2000-01-11 00:00:00+00:00,Pierre,SD,-19.57994,-14.032002,-22.128265,1.2727998,,
2000-01-12 00:00:00+00:00,Pierre,SD,-15.320725,-7.4771547,-19.117489,0.0,,
2000-01-13 00:00:00+00:00,Pierre,SD,-12.261512,-7.172306,-16.906712,0.11715561,,
2000-01-14 00:00:00+00:00,Pierre,SD,-19.9523,-15.017455,-22.495937,0.5893341,,
2000-01-15 00:00:00+00:00,Pierre,SD,-14.993083,-4.7126074,-20.93516,0.0,,
2000-01-16 00:00:00+00:00,Pierre,SD,-8.133868,-0.4077587,-13.324383,0.0,,
2000-01-17 00:00:00+00:00,Pierre,SD,-1.7746534,0.04709053,-4.9136076,0.0,,
2000-01-18 00:00:00+00:00,Pierre,SD,-7.1654387,1.2519398,-11.852832,0.12063416,,
2000-01-19 00:00:00+00:00,Pierre,SD,1.7937763,5.906789,-1.2920556,0.0,,
2000-01-20 00:00:00+00:00,Pierre,SD,0.70299065,5.7616377,-2.78128,0.0,,
2000-01-21 00:00:00+00:00,Pierre,SD,-0.18779492,5.716487,-4.6705046,0.9810545,,
2000-01-22 00:00:00+00:00,Pierre,SD,1.82142,4.571336,-0.7097279,0.0,,
2000-01-23 00:00:00+00:00,Pierre,SD,3.980635,8.176185,1.8510476,0.4957132,,
2000-01-24 00:00:00+00:00,Pierre,SD,2.93985,8.181034,1.0118251,0.12456628,,
2000-01-25 00:00:00+00:00,Pierre,SD,-2.300936,2.7358832,-7.6273994,6.3850756,,
2000-01-26 00:00:00+00:00,Pierre,SD,-3.9917214,-0.6092675,-6.3166237,0.88075596,,
2000-01-27 00:00:00+00:00,Pierre,SD,-5.532506,-0.70441866,-8.805847,0.8850835,,
2000-01-28 00:00:00+00:00,Pierre,SD,-3.0732913,3.6004307,-14.395071,0.762314,,
2000-01-29 00:00:00+00:00,Pierre,SD,-18.114079,-12.79472,-21.184298,1.5318948,,
2000-01-30 00:00:00+00:00,Pierre,SD,-13.504862,-9.03987,-19.673523,0.25651452,,
2000-01-31 00:00:00+00:00,Pierre,SD,-27.645647,-19.485023,-30.662746,1.6750567,,
2000-02-01 00:00:00+00:00,Pierre,SD,-25.836433,-19.630173,-28.851969,0.0,,
2000-02-02 00:00:00+00:00,Pierre,SD,-17.877218,-4.3753242,-25.141193,0.3900574,,
2000-02-03 00:00:00+00:00,Pierre,SD,-4.0180025,0.1795249,-6.7304163,0.39178404,,
2000-02-04 00:00:00+00:00,Pierre,SD,-10.308788,-1.0656259,-18.21964,0.52465785,,
2000-02-05 00:00:00+00:00,Pierre,SD,-10.849574,-6.5607767,-13.208864,0.65864295,,
2000-02-06 00:00:00+00:00,Pierre,SD,-12.690358,-6.755927,-19.19809,1.8520201,,
2000-02-07 00:00:00+00:00,Pierre,SD,-16.681145,-8.851078,-23.537312,0.2656805,,
2000-02-08 00:00:00+00:00,Pierre,SD,-5.9219294,3.7037706,-17.576538,1.2004913,,
2000-02-09 00:00:00+00:00,Pierre,SD,-26.862717,-16.39138,-32.265762,0.2678606,,
2000-02-10 00:00:00+00:00,Pierre,SD,-22.803501,-2.3865314,-32.704983,0.1344674,,
2000-02-11 00:00:00+00:00,Pierre,SD,-8.544286,-0.83168197,-15.494207,0.0,,
2000-02-12 00:00:00+00:00,Pierre,SD,-20.38507,-14.276834,-23.133432,0.0,,
2000-02-13 00:00:00+00:00,Pierre,SD,-22.625856,-15.171984,-27.972656,0.0,,
2000-02-14 00:00:00+00:00,Pierre,SD,-14.316642,-4.4171343,-20.811882,0.0,,
2000-02-15 00:00:00+00:00,Pierre,SD,-7.3574266,-1.9622858,-11.351104,0.0,,
2000-02-16 00:00:00+00:00,Pierre,SD,-9.748212,-4.1574364,-14.390329,0.41275188,,
2000-02-17 00:00:00+00:00,Pierre,SD,-3.2889974,4.847413,-8.179551,0.0,,
2000-02-18 00:00:00+00:00,Pierre,SD,0.72021735,5.1522617,-3.368776,0.0,,
2000-02-19 00:00:00+00:00,Pierre,SD,2.279432,5.057111,-0.4080006,0.0,,
2000-02-20 00:00:00+00:00,Pierre,SD,-0.46135306,4.4119596,-3.2972248,0.558263,,
2000-02-21 00:00:00+00:00,Pierre,SD,-19.05214,-2.0831912,-23.73645,4.621644,,
2000-02-22 00:00:00+00:00,Pierre,SD,-19.492926,-6.678342,-24.225674,1.6863536,,
2000-02-23 00:00:00+00:00,Pierre,SD,-3.9337094,3.3765073,-8.964896,0.0,,
2000-02-24 00:00:00+00:00,Pierre,SD,-5.3244944,1.8813561,-9.15412,0.28295144,,
2000-02-25 00:00:00+00:00,Pierre,SD,-3.0152795,3.336205,-7.3433437,0.14194243,,
2000-02-26 00:00:00+00:00,Pierre,SD,-6.3060646,3.0410542,-10.732569,1.5664545,,
2000-02-27 00:00:00+00:00,Pierre,SD,-12.89685,-7.9040956,-15.271793,12.42911,,
2000-02-28 00:00:00+00:00,Pierre,SD,-19.237637,-12.849248,-26.061016,0.2866353,,
2000-02-29 00:00:00+00:00,Pierre,SD,-19.128422,-12.294398,-26.050241,0.28753588,,
2000-03-01 00:00:00+00:00,Pierre,SD,-14.219205,-10.289549,-16.089466,2.0189993,,
2000-03-02 00:00:00+00:00,Pierre,SD,-12.309991,-3.7347004,-19.07869,0.0,,
2000-03-03 00:00:00+00:00,Pierre,SD,-16.53282,-5.5194054,-22.146683,1.0106299,,
2000-03-04 00:00:00+00:00,Pierre,SD,-16.72487,-12.977841,-18.831936,4.167028,,
2000-03-05 00:00:00+00:00,Pierre,SD,-17.416924,-14.4862795,-19.017189,4.5772204,,
2000-03-06 00:00:00+00:00,Pierre,SD,-21.608974,-14.744716,-27.602444,0.4272482,,
2000-03-07 00:00:00+00:00,Pierre,SD,-13.651026,-4.753154,-19.2377,0.0,,
2000-03-08 00:00:00+00:00,Pierre,SD,-1.4930784,5.6384096,-7.272951,0.0,,
2000-03-09 00:00:00+00:00,Pierre,SD,-0.23513019,6.3799725,-5.408206,0.14071207,,
2000-03-10 00:00:00+00:00,Pierre,SD,-8.777182,-4.2784643,-12.743461,0.0,,
2000-03-11 00:00:00+00:00,Pierre,SD,-5.1692343,3.2630985,-9.828713,0.13969444,,
2000-03-12 00:00:00+00:00,Pierre,SD,-2.411286,3.2046611,-7.413968,0.13921677,,
2000-03-13 00:00:00+00:00,Pierre,SD,-1.853338,4.2462244,-7.799222,0.0,,
2000-03-14 00:00:00+00:00,Pierre,SD,2.60461,4.4877872,1.3155242,0.0,,
2000-03-15 00:00:00+00:00,Pierre,SD,-4.437442,2.17935,-9.469729,0.0,,
2000-03-16 00:00:00+00:00,Pierre,SD,0.9705062,7.470913,-3.1549842,0.13748638,,
2000-03-17 00:00:00+00:00,Pierre,SD,2.4784544,7.512475,-0.440238,0.0,,
2000-03-18 00:00:00+00:00,Pierre,SD,3.8864021,9.754039,-0.6754918,0.0,,
2000-03-19 00:00:00+00:00,Pierre,SD,4.9443502,8.745602,1.7392542,0.0,,
2000-03-20 00:00:00+00:00,Pierre,SD,5.2522984,13.687164,0.2539997,0.0,,
2000-03-21 00:00:00+00:00,Pierre,SD,6.910247,13.728728,1.468746,0.8139545,,
2000-03-22 00:00:00+00:00,Pierre,SD,12.168195,22.720291,5.5834913,0.0,,
2000-03-23 00:00:00+00:00,Pierre,SD,7.9261427,22.261854,1.9982375,0.0,,
2000-03-24 00:00:00+00:00,Pierre,SD,3.03409,9.403417,0.46298394,0.9429455,,
2000-03-25 00:00:00+00:00,Pierre,SD,-0.35796177,3.4949794,-3.1722703,14.78504,,
2000-03-26 00:00:00+00:00,Pierre,SD,-3.8000138,-2.263458,-4.5575237,20.520643,,
2000-03-27 00:00:00+00:00,Pierre,SD,-4.942066,-3.1218941,-6.242778,24.493309,,
2000-03-28 00:00:00+00:00,Pierre,SD,-6.2841177,-1.4303308,-11.178032,1.736451,,
2000-03-29 00:00:00+00:00,Pierre,SD,-5.4761696,1.711231,-11.263286,0.0,,
2000-03-30 00:00:00+00:00,Pierre,SD,-3.1182215,1.5027946,-8.29854,0.13305727,,
2000-03-31 00:00:00+00:00,Pierre,SD,-2.7102737,2.5943573,-6.933795,0.2656214,,
2000-04-01 00:00:00+00:00,Pierre,SD,-1.502326,2.43592,-4.9190483,0.13257127,,
2000-04-02 00:00:00+00:00,Pierre,SD,2.4056227,7.6274815,0.39569744,0.26467738,,
2000-04-03 00:00:00+00:00,Pierre,SD,5.36357,16.419044,0.21044369,0.0,,
2000-04-04 00:00:00+00:00,Pierre,SD,10.821519,16.96061,6.7751904,0.1318929,,
2000-04-05 00:00:00+00:00,Pierre,SD,7.429467,11.602173,4.239936,0.5267167,,
2000-04-06 00:00:00+00:00,Pierre,SD,7.2374144,11.443734,4.4546814,2.2350106,,
2000-04-07 00:00:00+00:00,Pierre,SD,6.8453627,13.035298,1.5694275,0.5250752,,
2000-04-08 00:00:00+00:00,Pierre,SD,7.153311,14.426862,1.2341734,1.4417892,,
2000-04-09 00:00:00+00:00,Pierre,SD,10.66126,18.268423,4.248919,0.0,,
2000-04-10 00:00:00+00:00,Pierre,SD,14.369206,22.859985,8.163665,0.0,,
2000-04-11 00:00:00+00:00,Pierre,SD,16.577152,23.40155,9.528411,0.0,,
2000-04-12 00:00:00+00:00,Pierre,SD,17.885101,26.143112,10.793158,0.0,,
2000-04-13 00:00:00+00:00,Pierre,SD,19.793049,26.334675,12.757904,1.8222306,,
2000-04-14 00:00:00+00:00,Pierre,SD,18.350998,26.026237,13.07265,2.3398235,,
2000-04-15 00:00:00+00:00,Pierre,SD,9.208948,20.367802,4.387396,0.12982515,,
2000-04-16 00:00:00+00:00,Pierre,SD,7.0668964,12.409364,2.9021413,0.0,,
2000-04-17 00:00:00+00:00,Pierre,SD,8.224843,13.050926,2.816887,0.0,,
2000-04-18 00:00:00+00:00,Pierre,SD,6.5827904,12.54249,2.231633,0.12935303,,
2000-04-19 00:00:00+00:00,Pierre,SD,7.3907385,13.234053,2.0963793,0.12920289,,
2000-04-20 00:00:00+00:00,Pierre,SD,9.298687,15.525616,4.7611246,0.25811228,,
2000-04-21 00:00:00+00:00,Pierre,SD,13.906635,22.967178,7.2758713,0.0,,
2000-04-22 00:00:00+00:00,Pierre,SD,16.514584,22.758741,9.890616,0.0,,
2000-04-23 00:00:00+00:00,Pierre,SD,9.072532,17.100304,6.0053625,6.946308,,
2000-04-24 00:00:00+00:00,Pierre,SD,7.180479,13.241867,2.5701094,1.9275173,,
2000-04-25 00:00:00+00:00,Pierre,SD,10.138428,16.53343,4.084855,0.0,,
2000-04-26 00:00:00+00:00,Pierre,SD,12.896376,21.774994,5.5496006,0.0,,
2000-04-27 00:00:00+00:00,Pierre,SD,15.004323,21.566555,11.514348,0.0,,
2000-04-28 00:00:00+00:00,Pierre,SD,9.162272,16.658121,6.6790924,3.0718176,,
2000-04-29 00:00:00+00:00,Pierre,SD,6.570221,10.949682,2.2438385,0.0,,
2000-04-30 00:00:00+00:00,Pierre,SD,9.378167,18.591244,2.2085845,0.0,,
2000-05-01 00:00:00+00:00,Pierre,SD,13.586115,20.73281,6.823331,0.0,,
2000-05-02 00:00:00+00:00,Pierre,SD,18.644062,27.12437,12.238076,0.0,,
2000-05-03 00:00:00+00:00,Pierre,SD,19.345037,26.75833,12.402293,0.0,,
2000-05-04 00:00:00+00:00,Pierre,SD,20.193687,28.739754,12.666332,0.12731592,,
2000-05-05 00:00:00+00:00,Pierre,SD,19.092339,28.62118,14.280371,0.12721281,,
2000-05-06 00:00:00+00:00,Pierre,SD,14.090988,19.652605,9.79441,2.0337558,,
2000-05-07 00:00:00+00:00,Pierre,SD,15.139638,19.48403,11.058449,1.7780932,,
2000-05-08 00:00:00+00:00,Pierre,SD,11.238289,18.165455,8.922488,5.3299503,,
2000-05-09 00:00:00+00:00,Pierre,SD,5.586939,9.996881,0.73652816,4.438018,,
2000-05-10 00:00:00+00:00,Pierre,SD,4.93559,11.878305,-1.399434,0.0,,
2000-05-11 00:00:00+00:00,Pierre,SD,10.28424,16.209728,5.114606,0.75956637,,
2000-05-12 00:00:00+00:00,Pierre,SD,14.082889,20.341152,9.528645,1.2649133,,
2000-05-13 00:00:00+00:00,Pierre,SD,11.28154,20.12258,6.3426847,0.75832975,,
2000-05-14 00:00:00+00:00,Pierre,SD,13.63019,23.054007,7.8067245,0.37885574,,
2000-05-15 00:00:00+00:00,Pierre,SD,11.47884,22.68543,7.0207634,5.0472884,,
2000-05-16 00:00:00+00:00,Pierre,SD,9.42749,14.166856,4.684803,2.7737422,,
2000-05-17 00:00:00+00:00,Pierre,SD,13.326139,19.84828,9.298841,2.8974512,,
2000-05-18 00:00:00+00:00,Pierre,SD,21.57479,34.07971,15.8128805,0.75523883,,
2000-05-19 00:00:00+00:00,Pierre,SD,21.22344,34.111126,14.876921,0.8803908,,
2000-05-20 00:00:00+00:00,Pierre,SD,18.772089,31.692556,11.890959,0.2513342,,
2000-05-21 00:00:00+00:00,Pierre,SD,19.22074,31.92398,13.254999,2.0090253,,
2000-05-22 00:00:00+00:00,Pierre,SD,14.019391,19.955406,10.319038,29.106972,,
2000-05-23 00:00:00+00:00,Pierre,SD,15.068042,23.986832,9.383077,0.0,,
2000-05-24 00:00:00+00:00,Pierre,SD,19.26669,27.418259,11.697117,0.0,,
2000-05-25 00:00:00+00:00,Pierre,SD,21.31534,27.349682,14.211155,3.7545638,,
2000-05-26 00:00:00+00:00,Pierre,SD,22.063992,27.131104,17.575195,3.3763266,,
2000-05-27 00:00:00+00:00,Pierre,SD,22.51264,28.162529,16.989231,3.4984925,,
2000-05-28 00:00:00+00:00,Pierre,SD,24.011292,30.843958,19.503273,3.9949822,,
2000-05-29 00:00:00+00:00,Pierre,SD,23.05994,30.825382,17.467312,1.4968827,,
2000-05-30 00:00:00+00:00,Pierre,SD,18.158592,26.256807,15.431352,15.704295,,
2000-05-31 00:00:00+00:00,Pierre,SD,10.107243,14.088231,6.4453907,0.37360293,,
2000-06-01 00:00:00+00:00,Pierre,SD,11.155891,14.719657,7.3594294,0.0,,
2000-06-02 00:00:00+00:00,Pierre,SD,12.254543,15.851083,8.72347,3.9785092,,
2000-06-03 00:00:00+00:00,Pierre,SD,13.103192,18.782507,7.1875086,1.7391566,,
2000-06-04 00:00:00+00:00,Pierre,SD,14.901845,20.113932,10.051548,0.9929803,,
2000-06-05 00:00:00+00:00,Pierre,SD,17.250494,23.345358,12.715586,4.9607835,,
2000-06-06 00:00:00+00:00,Pierre,SD,16.799145,23.276783,14.029625,1.4870005,,
2000-06-07 00:00:00+00:00,Pierre,SD,12.197793,16.358206,8.993665,1.9810202,,
2000-06-08 00:00:00+00:00,Pierre,SD,13.996444,18.239632,11.357704,3.092771,,
2000-06-09 00:00:00+00:00,Pierre,SD,14.495093,18.12106,10.871743,3.3374145,,
2000-06-10 00:00:00+00:00,Pierre,SD,11.343744,16.152483,8.185783,0.6175251,,
2000-06-11 00:00:00+00:00,Pierre,SD,11.142393,12.9339075,9.799822,11.352997,,
2000-06-12 00:00:00+00:00,Pierre,SD,12.991043,17.615332,9.763862,12.206623,,
2000-06-13 00:00:00+00:00,Pierre,SD,15.039693,19.546759,10.1279,0.0,,
2000-06-14 00:00:00+00:00,Pierre,SD,18.038343,23.278181,13.44194,1.4771216,,
2000-06-15 00:00:00+00:00,Pierre,SD,18.436993,24.509605,13.15598,0.0,,
2000-06-16 00:00:00+00:00,Pierre,SD,20.485643,24.69103,15.32002,1.2288771,,
2000-06-17 00:00:00+00:00,Pierre,SD,21.534294,27.422457,16.484055,6.507596,,
2000-06-18 00:00:00+00:00,Pierre,SD,21.482943,27.203882,18.998096,3.9258232,,
2000-06-19 00:00:00+00:00,Pierre,SD,21.081594,28.335308,14.912137,0.0,,
2000-06-20 00:00:00+00:00,Pierre,SD,23.380245,28.166733,20.776173,2.9394307,,
2000-06-21 00:00:00+00:00,Pierre,SD,24.178894,33.448162,19.190214,2.4474688,,
2000-06-22 00:00:00+00:00,Pierre,SD,24.777546,33.32958,19.054253,0.48908234,,
2000-06-23 00:00:00+00:00,Pierre,SD,24.476196,28.861008,19.918291,2.5655227,,
2000-06-24 00:00:00+00:00,Pierre,SD,21.874846,26.942432,17.98233,1.9530386,,
2000-06-25 00:00:00+00:00,Pierre,SD,20.523495,27.12386,14.846372,1.3415829,,
2000-06-26 00:00:00+00:00,Pierre,SD,25.372145,33.85528,17.91041,0.0,,
2000-06-27 00:00:00+00:00,Pierre,SD,25.970797,33.136707,17.324448,0.0,,
2000-06-28 00:00:00+00:00,Pierre,SD,28.219446,33.468136,22.288486,0.12165363,,
2000-06-29 00:00:00+00:00,Pierre,SD,25.068094,32.94956,19.402529,0.121550836,,
2000-06-30 00:00:00+00:00,Pierre,SD,22.666746,27.430983,16.916567,0.0,,
2000-07-01 00:00:00+00:00,Pierre,SD,21.965395,28.512407,15.480607,0.0,,
2000-07-02 00:00:00+00:00,Pierre,SD,26.414047,32.393833,20.394644,0.0,,
2000-07-03 00:00:00+00:00,Pierre,SD,25.501846,31.383509,18.984966,4.252499,,
2000-07-04 00:00:00+00:00,Pierre,SD,25.845238,30.98151,22.12904,1.3399451,,
2000-07-05 00:00:00+00:00,Pierre,SD,25.838627,31.379501,20.373114,2.0762274,,
2000-07-06 00:00:00+00:00,Pierre,SD,24.38202,32.1275,19.467186,4.285876,,
2000-07-07 00:00:00+00:00,Pierre,SD,24.875414,32.5255,18.361256,2.087276,,
2000-07-08 00:00:00+00:00,Pierre,SD,22.668804,29.773497,15.855332,0.0,,
2000-07-09 00:00:00+00:00,Pierre,SD,28.112196,36.421494,20.599405,0.0,,
2000-07-10 00:00:00+00:00,Pierre,SD,29.305588,35.619488,23.19348,0.247586,,
2000-07-11 00:00:00+00:00,Pierre,SD,26.99898,32.71749,21.63755,4.717348,,
2000-07-12 00:00:00+00:00,Pierre,SD,26.292372,34.16549,19.781626,1.4939263,,
2000-07-13 00:00:00+00:00,Pierre,SD,28.335764,33.96348,22.875698,0.12485249,,
2000-07-14 00:00:00+00:00,Pierre,SD,25.729156,31.06148,20.519772,12.772112,,
2000-07-15 00:00:00+00:00,Pierre,SD,26.172548,32.359478,20.263845,0.0,,
2000-07-16 00:00:00+00:00,Pierre,SD,28.515938,32.65748,23.15792,1.0077027,,
2000-07-17 00:00:00+00:00,Pierre,SD,27.20933,30.905476,22.501991,4.1693816,,
2000-07-18 00:00:00+00:00,Pierre,SD,26.352724,32.30347,20.546066,3.8019943,,
2000-07-19 00:00:00+00:00,Pierre,SD,24.646112,31.551466,20.64014,4.449472,,
2000-07-20 00:00:00+00:00,Pierre,SD,22.389505,26.349466,18.284214,4.4635124,,
2000-07-21 00:00:00+00:00,Pierre,SD,21.182898,26.347464,15.728288,0.25587353,,
2000-07-22 00:00:00+00:00,Pierre,SD,23.826292,32.19546,17.022362,0.0,,
2000-07-23 00:00:00+00:00,Pierre,SD,27.869682,32.69346,22.816433,3.991968,,
2000-07-24 00:00:00+00:00,Pierre,SD,25.913073,32.491455,20.660507,7.2353177,,
2000-07-25 00:00:00+00:00,Pierre,SD,26.806465,32.689457,21.254581,3.6298747,,
2000-07-26 00:00:00+00:00,Pierre,SD,29.099857,40.28745,21.198654,0.52032924,,
2000-07-27 00:00:00+00:00,Pierre,SD,29.793251,40.085445,23.792728,0.0,,
2000-07-28 00:00:00+00:00,Pierre,SD,28.08664,35.133446,22.186802,3.4058354,,
2000-07-29 00:00:00+00:00,Pierre,SD,32.580032,39.381443,26.880873,0.7887694,,
2000-07-30 00:00:00+00:00,Pierre,SD,31.823425,39.079437,25.624947,0.0,,
2000-07-31 00:00:00+00:00,Pierre,SD,31.416815,38.17744,24.96902,0.52969146,,
2000-08-01 00:00:00+00:00,Pierre,SD,33.21021,38.82543,26.413095,0.0,,
2000-08-02 00:00:00+00:00,Pierre,SD,32.2536,38.323433,24.757168,0.0,,
2000-08-03 00:00:00+00:00,Pierre,SD,28.496994,36.22143,22.601242,0.0,,
2000-08-04 00:00:00+00:00,Pierre,SD,27.690382,33.11943,21.795317,0.0,,
2000-08-05 00:00:00+00:00,Pierre,SD,30.233778,37.81742,24.28939,0.0,,
2000-08-06 00:00:00+00:00,Pierre,SD,33.527164,39.515423,26.683464,0.0,,
2000-08-07 00:00:00+00:00,Pierre,SD,33.42056,39.163418,27.027536,0.0,,
2000-08-08 00:00:00+00:00,Pierre,SD,30.963953,38.71142,24.77161,0.0,,
2000-08-09 00:00:00+00:00,Pierre,SD,30.657341,37.459415,23.915684,0.0,,
2000-08-10 00:00:00+00:00,Pierre,SD,32.700733,38.05741,27.359756,0.0,,
2000-08-11 00:00:00+00:00,Pierre,SD,29.144129,37.505413,25.753832,1.3840413,,
2000-08-12 00:00:00+00:00,Pierre,SD,24.837519,29.70341,19.347904,0.41704336,,
2000-08-13 00:00:00+00:00,Pierre,SD,25.33091,30.701408,20.191977,0.2792747,,
2000-08-14 00:00:00+00:00,Pierre,SD,26.024302,30.499405,20.28605,0.0,,
2000-08-15 00:00:00+00:00,Pierre,SD,24.567694,28.047398,21.230125,2.2547598,,
2000-08-16 00:00:00+00:00,Pierre,SD,23.961086,31.495396,19.374197,1.8406122,,
2000-08-17 00:00:00+00:00,Pierre,SD,27.554478,31.843395,24.06827,2.1339433,,
2000-08-18 00:00:00+00:00,Pierre,SD,27.397871,34.14139,21.812344,1.8584142,,
2000-08-19 00:00:00+00:00,Pierre,SD,28.49126,33.68939,22.206419,0.1436622,,
2000-08-20 00:00:00+00:00,Pierre,SD,29.834654,33.48739,25.950493,1.1550814,,
2000-08-21 00:00:00+00:00,Pierre,SD,29.428043,34.835384,23.444565,2.3219903,,
2000-08-22 00:00:00+00:00,Pierre,SD,29.221437,34.33338,24.18864,3.2093687,,
2000-08-23 00:00:00+00:00,Pierre,SD,25.664827,33.531376,20.132711,1.7598454,,
2000-08-24 00:00:00+00:00,Pierre,SD,25.05822,31.179379,18.376783,0.29489028,,
2000-08-25 00:00:00+00:00,Pierre,SD,24.251614,30.127377,18.870857,3.261613,,
2000-08-26 00:00:00+00:00,Pierre,SD,24.745003,33.125374,17.414932,0.0,,
2000-08-27 00:00:00+00:00,Pierre,SD,25.938393,33.073376,20.409008,0.14993365,,
2000-08-28 00:00:00+00:00,Pierre,SD,16.481787,19.27137,14.203081,9.802234,,
2000-08-29 00:00:00+00:00,Pierre,SD,17.975178,26.569363,12.997151,0.0,,
2000-08-30 00:00:00+00:00,Pierre,SD,24.218573,29.41736,19.291225,0.45782617,,
2000-08-31 00:00:00+00:00,Pierre,SD,25.861963,31.41536,20.6353,0.46063673,,
2000-09-01 00:00:00+00:00,Pierre,SD,24.705355,31.513355,18.129375,0.0,,
2000-09-02 00:00:00+00:00,Pierre,SD,27.716814,34.59959,21.472786,2.1586437,,
2000-09-03 00:00:00+00:00,Pierre,SD,26.278276,34.235836,23.116203,5.5392694,,
2000-09-04 00:00:00+00:00,Pierre,SD,23.039736,27.972069,18.859615,3.2244606,,
2000-09-05 00:00:00+00:00,Pierre,SD,21.401196,27.908308,19.053032,0.9193212,,
2000-09-06 00:00:00+00:00,Pierre,SD,19.26266,29.994547,14.496446,10.243758,,
2000-09-07 00:00:00+00:00,Pierre,SD,24.324121,30.280783,18.639862,0.15256092,,
2000-09-08 00:00:00+00:00,Pierre,SD,22.885582,29.467022,17.283272,0.7611355,,
2000-09-09 00:00:00+00:00,Pierre,SD,18.647041,23.70326,14.326687,4.101043,,
2000-09-10 00:00:00+00:00,Pierre,SD,21.0585,29.089499,16.370102,3.1825707,,
2000-09-11 00:00:00+00:00,Pierre,SD,24.769962,35.775734,16.713518,0.30241725,,
2000-09-12 00:00:00+00:00,Pierre,SD,19.881424,35.611973,12.956932,0.0,,
2000-09-13 00:00:00+00:00,Pierre,SD,14.642884,20.898209,10.450347,0.0,,
2000-09-14 00:00:00+00:00,Pierre,SD,15.204343,20.934446,9.043761,0.0,,
2000-09-15 00:00:00+00:00,Pierre,SD,16.265804,22.170683,10.287175,0.0,,
2000-09-16 00:00:00+00:00,Pierre,SD,17.777266,23.156923,12.280588,0.0,,
2000-09-17 00:00:00+00:00,Pierre,SD,19.288727,26.09316,13.574004,0.0,,
2000-09-18 00:00:00+00:00,Pierre,SD,20.100187,28.229399,12.567417,0.0,,
2000-09-19 00:00:00+00:00,Pierre,SD,23.111649,31.915636,16.46083,0.0,,
2000-09-20 00:00:00+00:00,Pierre,SD,19.423107,31.851873,14.804245,3.1078022,,
2000-09-21 00:00:00+00:00,Pierre,SD,15.58457,21.888111,10.34766,0.0,,
2000-09-22 00:00:00+00:00,Pierre,SD,16.096031,21.774347,10.841075,0.1472403,,
2000-09-23 00:00:00+00:00,Pierre,SD,18.10749,27.310587,10.684489,0.0,,
2000-09-24 00:00:00+00:00,Pierre,SD,18.968952,26.946823,13.527904,0.0,,
2000-09-25 00:00:00+00:00,Pierre,SD,15.630414,22.63306,10.321318,0.0,,
2000-09-26 00:00:00+00:00,Pierre,SD,15.341876,23.1693,9.764731,0.0,,
2000-09-27 00:00:00+00:00,Pierre,SD,19.653336,29.755535,12.808146,0.0,,
2000-09-28 00:00:00+00:00,Pierre,SD,18.464796,29.691776,14.201561,3.6226654,,
2000-09-29 00:00:00+00:00,Pierre,SD,16.126255,22.878012,10.244975,0.0,,
2000-09-30 00:00:00+00:00,Pierre,SD,19.937716,29.41425,13.188389,0.0,,
2000-10-01 00:00:00+00:00,Pierre,SD,19.999176,29.60049,15.731802,0.28738168,,
2000-10-02 00:00:00+00:00,Pierre,SD,13.560639,19.186726,9.275218,0.573112,,
2000-10-03 00:00:00+00:00,Pierre,SD,14.722099,19.122965,10.368632,0.0,,
2000-10-04 00:00:00+00:00,Pierre,SD,13.833561,24.809198,6.9620466,0.0,,
2000-10-05 00:00:00+00:00,Pierre,SD,19.945019,25.645435,16.355461,0.0,,
2000-10-06 00:00:00+00:00,Pierre,SD,12.656482,17.381676,9.998876,0.7079359,,
2000-10-07 00:00:00+00:00,Pierre,SD,9.317943,15.517913,3.8922894,0.14115438,,
2000-10-08 00:00:00+00:00,Pierre,SD,9.929404,15.604152,7.7857027,0.9850215,,
2000-10-09 00:00:00+00:00,Pierre,SD,5.8908644,10.540391,1.429117,0.0,,
2000-10-10 00:00:00+00:00,Pierre,SD,11.752325,22.676628,5.372531,0.0,,
2000-10-11 00:00:00+00:00,Pierre,SD,13.563786,22.412863,9.965945,0.83628434,,
2000-10-12 00:00:00+00:00,Pierre,SD,7.6752462,15.349101,3.9593608,1.5281907,,
2000-10-13 00:00:00+00:00,Pierre,SD,5.1867075,8.3353405,3.8527744,13.708295,,
